 = english-document-00043.txt = 0.0
 = english-document-00018.txt = 0.0
 = english-document-00034.txt = 0.0
 = english-document-00027.txt = 0.0
 = english-document-00036.txt = 0.0
 = english-document-00019.txt = 0.0
 = english-document-00028.txt = 0.0
 = english-document-00042.txt = 0.0
 = english-document-00033.txt = 0.0
 = english-document-00050.txt = 0.0
 = english-document-00037.txt = 0.0
 = english-document-00024.txt = 0.0
 = english-document-00029.txt = 0.0
 = english-document-00016.txt = 0.0
 = english-document-00041.txt = 0.0
 = english-document-00003.txt = 0.0
 = english-document-00040.txt = 0.0
 = english-document-00010.txt = 0.0
 = english-document-00023.txt = 0.0
 = english-document-00047.txt = 0.0
 = english-document-00004.txt = 0.0
 = english-document-00017.txt = 0.0
 = english-document-00035.txt = 0.0
 = english-document-00022.txt = 0.0
 = english-document-00048.txt = 0.0
 = english-document-00005.txt = 0.0
 = english-document-00030.txt = 0.0
 = english-document-00013.txt = 0.0
 = english-document-00021.txt = 0.0
 = english-document-00014.txt = 0.0
 = english-document-00049.txt = 0.0
 = english-document-00012.txt = 0.0
 = english-document-00006.txt = 0.0
 = english-document-00015.txt = 0.0
 = english-document-00046.txt = 0.0
 = english-document-00020.txt = 0.0
 = english-document-00011.txt = 0.0
 = english-document-00007.txt = 0.0
 = english-document-00032.txt = 0.0
 = english-document-00002.txt = 0.0
 = english-document-00045.txt = 0.0
 = english-document-00008.txt = 0.0
 = english-document-00025.txt = 0.0
 = english-document-00038.txt = 0.0
 = english-document-00031.txt = 0.0
 = english-document-00044.txt = 0.0
 = english-document-00001.txt = 0.0
 = english-document-00039.txt = 0.0
 = english-document-00026.txt = 0.0
 = english-document-00009.txt = 0.0
cancel = english-document-00042.txt = 3.2188758248682006
cancel = english-document-00050.txt = 3.2188758248682006
namita = english-document-00019.txt = 3.912023005428146
spoke = english-document-00001.txt = 3.912023005428146
surgeon = english-document-00033.txt = 3.2188758248682006
surgeon = english-document-00025.txt = 3.2188758248682006
envisag = english-document-00041.txt = 7.824046010856292
withdrawn = english-document-00050.txt = 3.912023005428146
hall = english-document-00044.txt = 6.437751649736401
hall = english-document-00042.txt = 6.437751649736401
oversea = english-document-00013.txt = 2.772588722239781
oversea = english-document-00042.txt = 2.772588722239781
oversea = english-document-00020.txt = 2.772588722239781
brinkmanship = english-document-00034.txt = 3.912023005428146
satan = english-document-00050.txt = 7.824046010856292
pick = english-document-00042.txt = 2.772588722239781
pick = english-document-00020.txt = 2.772588722239781
pick = english-document-00035.txt = 2.772588722239781
tee = english-document-00038.txt = 3.912023005428146
warrant = english-document-00008.txt = 3.912023005428146
ten = english-document-00009.txt = 7.824046010856292
pakistanthei = english-document-00029.txt = 3.912023005428146
disastr = english-document-00034.txt = 3.912023005428146
mulchandani = english-document-00044.txt = 3.912023005428146
cooperativa = english-document-00022.txt = 3.912023005428146
iocono = english-document-00022.txt = 7.824046010856292
stabil = english-document-00047.txt = 3.912023005428146
1 = english-document-00030.txt = 1.791759469228055
1 = english-document-00021.txt = 1.791759469228055
1 = english-document-00046.txt = 1.791759469228055
1 = english-document-00014.txt = 5.375278407684165
1 = english-document-00026.txt = 1.791759469228055
1 = english-document-00033.txt = 1.791759469228055
1 = english-document-00025.txt = 1.791759469228055
1 = english-document-00022.txt = 7.16703787691222
2 = english-document-00004.txt = 3.2188758248682006
2 = english-document-00022.txt = 3.2188758248682006
bachelet = english-document-00022.txt = 19.56011502714073
3 = english-document-00005.txt = 1.9459101490553132
3 = english-document-00031.txt = 1.9459101490553132
3 = english-document-00007.txt = 1.9459101490553132
3 = english-document-00017.txt = 3.8918202981106265
3 = english-document-00021.txt = 1.9459101490553132
3 = english-document-00027.txt = 3.8918202981106265
3 = english-document-00022.txt = 1.9459101490553132
4 = english-document-00004.txt = 2.302585092994046
4 = english-document-00044.txt = 2.302585092994046
4 = english-document-00020.txt = 2.302585092994046
4 = english-document-00049.txt = 6.907755278982138
4 = english-document-00022.txt = 2.302585092994046
size = english-document-00021.txt = 3.912023005428146
left = english-document-00004.txt = 1.9459101490553132
left = english-document-00001.txt = 1.9459101490553132
left = english-document-00017.txt = 3.8918202981106265
left = english-document-00021.txt = 1.9459101490553132
left = english-document-00034.txt = 17.51319134149782
left = english-document-00008.txt = 1.9459101490553132
left = english-document-00022.txt = 3.8918202981106265
5 = english-document-00004.txt = 2.4849066497880004
5 = english-document-00021.txt = 2.4849066497880004
5 = english-document-00038.txt = 2.4849066497880004
5 = english-document-00022.txt = 2.4849066497880004
upai = english-document-00034.txt = 3.912023005428146
352010 = english-document-00040.txt = 3.912023005428146
8 = english-document-00004.txt = 3.912023005428146
9 = english-document-00030.txt = 2.4849066497880004
9 = english-document-00004.txt = 2.4849066497880004
9 = english-document-00046.txt = 2.4849066497880004
9 = english-document-00038.txt = 2.4849066497880004
besid = english-document-00019.txt = 3.912023005428146
object = english-document-00044.txt = 2.772588722239781
object = english-document-00014.txt = 2.772588722239781
object = english-document-00037.txt = 2.772588722239781
2318 = english-document-00021.txt = 3.912023005428146
cardiac = english-document-00033.txt = 3.912023005428146
hang = english-document-00006.txt = 3.912023005428146
role = english-document-00029.txt = 1.9459101490553132
role = english-document-00013.txt = 3.8918202981106265
role = english-document-00004.txt = 1.9459101490553132
role = english-document-00040.txt = 1.9459101490553132
role = english-document-00026.txt = 3.8918202981106265
role = english-document-00008.txt = 7.783640596221253
role = english-document-00010.txt = 1.9459101490553132
karachi = english-document-00031.txt = 3.2188758248682006
karachi = english-document-00017.txt = 3.2188758248682006
turn = english-document-00016.txt = 3.2188758248682006
turn = english-document-00025.txt = 3.2188758248682006
suffici = english-document-00025.txt = 7.824046010856292
polici = english-document-00013.txt = 2.772588722239781
polici = english-document-00021.txt = 2.772588722239781
polici = english-document-00034.txt = 2.772588722239781
result = english-document-00016.txt = 2.772588722239781
result = english-document-00027.txt = 2.772588722239781
result = english-document-00020.txt = 2.772588722239781
gold = english-document-00020.txt = 11.736069016284437
same = english-document-00031.txt = 3.912023005428146
shekhar = english-document-00040.txt = 3.912023005428146
commission = english-document-00042.txt = 2.772588722239781
commission = english-document-00008.txt = 2.772588722239781
commission = english-document-00011.txt = 5.545177444479562
after = english-document-00004.txt = 3.8918202981106265
after = english-document-00041.txt = 1.9459101490553132
after = english-document-00002.txt = 1.9459101490553132
after = english-document-00017.txt = 1.9459101490553132
after = english-document-00011.txt = 1.9459101490553132
after = english-document-00050.txt = 1.9459101490553132
after = english-document-00025.txt = 3.8918202981106265
